user,user_id,text,like,reply_count,timestamp,fecha_legible,tipo_de_item,emocion,comment_length,time
Navarrete 🦇,zoeee_77777,"la vrdd no yo tenía el pelo en pelo en pausa y empecé a usar mascarillas para pelo
1.de garnier fructis 😍
2.nutribela😍
3.pantene 😍",443,5,1728426278,2024-10-08 17:24:38,belleza-y-cuidado,testimonio,130,2024-10-08 17:24:38
LaCherryBoop,cherryboopxxx,"Mí hermano es químico farmacéutico y dice que recomienda estos productos porque son más naturales que otras mascarillas, así también una mascarilla de Pantene que amo usar. 🤔",910,8,1716524639,2024-05-23 23:23:59,belleza-y-cuidado,testimonio,174,2024-05-23 23:23:59
Ori✨,orianaa_rosaless,"úsenlo, yo tenía el cabello horrible y no saben el cambio que me dio cuando lo empecé a usar, es mágico.",3827,32,1633898429,2021-10-10 15:40:29,belleza-y-cuidado,satisfaccion,104,2021-10-10 15:40:29
K'rol Rojas,karolrojas018,"mi cabello cambio por completo desde que la empecé a usar😏 está súper largo,súper suave y mejor que nunca 🤷creo que no a todas les funciona",1587,41,1633893792,2021-10-10 14:23:12,belleza-y-cuidado,satisfaccion,139,2021-10-10 14:23:12
Fer💗,fer622301,si es mala? es que la acabo de comprar la rosa 😭😭😭,11,7,1737934854,2025-01-26 18:40:54,belleza-y-cuidado,consulta,50,2025-01-26 18:40:54
Andre Carolina♍️✨,andrecarolina27,"yo amaba nutribela y Pantene los dejé de usar y el cabello se puso horrible, chiroso, seco, no ni pa que eso d q es un maquillaje es verdad",475,6,1633956934,2021-10-11 07:55:34,belleza-y-cuidado,decepcion,139,2021-10-11 07:55:34
Viviana Benavidez,vivikoi1505,"Lo uso hace mas de un año y no me pasa lo q dices, al contrario, se pone mas manejable.",950,9,1633897088,2021-10-10 15:18:08,belleza-y-cuidado,testimonio,87,2021-10-10 15:18:08
Manchaslovers,manchaslovers,"Leyendo los comentarios a la gran mayoría le ha ido bien, y ella se pone brava por eso jajaja 😂😂",725,18,1633957506,2021-10-11 08:05:06,belleza-y-cuidado,testimonio,96,2021-10-11 08:05:06
Peque🐥,emmayvane,"yo me decolore el cabello, nada me funcionaba parecía chicle, hasta que use nutribela y le dió un giro completo, se fortaleció lo recomiendo",473,22,1633901758,2021-10-10 16:35:58,belleza-y-cuidado,testimonio,140,2021-10-10 16:35:58
𝑪𝒂𝒓𝒐𝒍𝒊𝒏𝒂♡,caroliina110,"Si tuviste mala experiencia con el producto no quiere decir que a las demás no les funcione, en mi caso tengo el cabello super largo y brillante",890,33,1633898166,2021-10-10 15:36:06,belleza-y-cuidado,satisfaccion,144,2021-10-10 15:36:06
sams,saman.kv,"Yo la vrdd si lo recomiendo Además cada pelo es diferente ami me deja el pelo manejable,Brillo si etc",175,3,1720313288,2024-07-06 19:48:08,belleza-y-cuidado,testimonio,101,2024-07-06 19:48:08
Brianna shop,briannashop1,eso es mentira yo por las decoloraciones tenía el cabello horrible y muy reseco empecé a usarlos y es fantástico recupero vida y ahora está suave y hermoso,18,1,1737937225,2025-01-26 19:20:25,belleza-y-cuidado,decepcion,155,2025-01-26 19:20:25
luisa,luisam1515,"a mi me sirvió mucho, y cuando lo dejé de usar se me puso feo",99,3,1641367799,2022-01-05 02:29:59,belleza-y-cuidado,testimonio,61,2022-01-05 02:29:59
Sofia Medina,sofia.medina71,"chicas la cantidad de ingredientes es dependiendo de tu pelo, y tienes q probar para saber q necesita tu pelo, hay cabello que le sienta bien las siliconas y a otros no y ya, depende +",4,1,1745119387,2025-04-19 22:23:07,belleza-y-cuidado,testimonio,184,2025-04-19 22:23:07
🦋GERALDINE🦋,geraldinelopez92,"ES MENTIRA!!
LOS EXPERTOS DICEN TODO LO CONTRARIO......",123,6,1633893703,2021-10-10 14:21:43,belleza-y-cuidado,queja,55,2021-10-10 14:21:43
Nunu💜,mina_dafg,"Yo llevó ya meses usándola, desde la primera vez que la usé noté un gran cambio en el brillo de mi cabello aparte de q en el momento q la colocas se te deshacen los nudos; a medida q la voy usando+",17,5,1711326761,2024-03-24 19:32:41,belleza-y-cuidado,satisfaccion,197,2024-03-24 19:32:41
Carito💕,caritooreyess,"Yo lo usó, me queda bello y no se reseca, uso shampoo y acondicionador marca milagros 🥰 me gusta bastante",89,4,1633894051,2021-10-10 14:27:31,belleza-y-cuidado,satisfaccion,105,2021-10-10 14:27:31
juli,julibotero2120,y uno le pregunta a ella que productos recomienda y recomienda los que ella vende. los de natura😁 muy buena estrategia de venta👌😂,87,12,1633975736,2021-10-11 13:08:56,belleza-y-cuidado,satisfaccion,129,2021-10-11 13:08:56
Kim SP,kimmsp,es el mejor tratamiento que hay deja el cabello increíble demasiado suave y brillante que tenga componente químicos no quiere decir que sea malo todos,169,5,1633923647,2021-10-10 22:40:47,belleza-y-cuidado,satisfaccion,150,2021-10-10 22:40:47
:3,st_14300,Yo apunto de hacerme preshampoo 👁️👄👁️Ni modos toca usarla,10,1,1738369697,2025-01-31 19:28:17,belleza-y-cuidado,testimonio,57,2025-01-31 19:28:17
Roxy  ❤🐢🌽🐼🦒🐍🌛,rosalindaroxy2,mentiraa es recontra mentira mi hermana lo usa dos años lo tiene bien lacio y muy bonito ahora ando usando y tambien me hizo bien🥰 y lo recomiendo 🥰,2,2,1709158779,2024-02-28 17:19:39,belleza-y-cuidado,frustracion,148,2024-02-28 17:19:39
🦇MINNASAURIO🦇,minna0982,"suuuper no, a mi si me arregla el cabello",5,0,1744917916,2025-04-17 14:25:16,belleza-y-cuidado,satisfaccion,41,2025-04-17 14:25:16
panndiita,panndiita,"esta chida esa mascarilla, porque es maqullaje con siliconas, siempre y cuando usen shampoo con sulfatos y ademas usen otras 2 mascarilllas no es mala",11,1,1729919761,2024-10-26 00:16:01,belleza-y-cuidado,satisfaccion,150,2024-10-26 00:16:01
marymaki,marymaki,No volveré a comprar 🥺 recomiendas la mascarilla para cabello de Garnier?,4,1,1638151227,2021-11-28 21:00:27,belleza-y-cuidado,consulta,73,2021-11-28 21:00:27
lizeth López,soylizeth.7,esa vaina fue lo mejor que me pude haber comprado vean esos risos😌😌 gracias nutribela🥰por tener cosas tóxicas pero buenas,49,1,1633931186,2021-10-11 00:46:26,belleza-y-cuidado,satisfaccion,121,2021-10-11 00:46:26
Freys,freys21m,Por qué las personas le caen encima? Ella solo coloco las razones porque no la usaría y no la recomienda. El que si le vaya bien pues que la use,300,11,1633914882,2021-10-10 20:14:42,belleza-y-cuidado,confusion,144,2021-10-10 20:14:42
Andrea,1998_jt,yo lo usé durante un año y fue lo peor que pude hacer 😢 me dejó el pelo graso y con un olor extraño que aún tengo y me ha costado mucho quitarlo,9,5,1633909263,2021-10-10 18:41:03,belleza-y-cuidado,decepcion,144,2021-10-10 18:41:03
Danii Sandoval,danisandoval04,"Al ser un tratamiento reparador refiere que debemos utilizar 1 o 2 veces por semana máximo, es como en el skincare, no debemos sobre cargar",49,1,1633909432,2021-10-10 18:43:52,belleza-y-cuidado,testimonio,139,2021-10-10 18:43:52
Melinamake,melinamake,Tengo como 2 años usándola y no me pasa nada de eso que dices 😅,82,6,1633902734,2021-10-10 16:52:14,belleza-y-cuidado,sorpresa,63,2021-10-10 16:52:14
Tatiana Zabala,tatianazabala44,Yo cuándo la utilice por primera vez en papeleta el pelo se me veía Super suave y brilloso y la empecé a comprar en potes y ahora tengo el ca,8,1,1637731648,2021-11-24 00:27:28,belleza-y-cuidado,testimonio,141,2021-11-24 00:27:28
Yaneht VP,yanehtvelasquez23,No puedes hacer eso con una marca tan solo porque a ti no te funciona bien 😑,23,2,1634006072,2021-10-11 21:34:32,belleza-y-cuidado,queja,76,2021-10-11 21:34:32
line,ruleskat,Que mascarillas recomiendas entonces COLOMBIA?,9,8,1633891051,2021-10-10 13:37:31,belleza-y-cuidado,consulta,46,2021-10-10 13:37:31
Melii,poscam4,Hola la marca Garnier la recomienda el shampoo y la mascarillas,4,2,1633890988,2021-10-10 13:36:28,belleza-y-cuidado,consulta,63,2021-10-10 13:36:28
N,nevisramos,"pero es que eso no se usa todos los días
en las instrucciones dice una o dos veces por semana 😂😂😂",2,2,1633897957,2021-10-10 15:32:37,belleza-y-cuidado,frustracion,97,2021-10-10 15:32:37
Kithy Mishell…🖤,kithymiiiiii,"Usar silicona no es realmente malo lo han dicho profesionales, además esa crema solo se echa de medio cabello a puntas. Llevo 2 años usándola",13,1,1633908801,2021-10-10 18:33:21,belleza-y-cuidado,testimonio,141,2021-10-10 18:33:21
user65676434666666,user4822396992580,a mí me queda super suaveee y sin frizz,38,1,1633904023,2021-10-10 17:13:43,belleza-y-cuidado,satisfaccion,39,2021-10-10 17:13:43
Emilis_eileen✨,emilis_eileen,"A mi me crece bárbaro y siempre está brillante y suave, la cuestión es que mis puntas siempre se ven bien maltratadas al punto de como si tuviera",1,2,1634708354,2021-10-20 00:39:14,belleza-y-cuidado,satisfaccion,145,2021-10-20 00:39:14
Kasandra,dey.kassandra,"es lo peor que pude usar, al inicio si genial, lo he usado por mucho tiempo creo que un año o más, pero llegó el momento que se me empezó a caer el",14,1,1637891263,2021-11-25 20:47:43,belleza-y-cuidado,decepcion,147,2021-11-25 20:47:43
Limapop,malorypomajulca,Uso nutrí ella y le hecho unas gotas de aceite de argan y coco y es TOP. Mucho mejor que otras mascarillas mucho más caras que otras. 😁,17,2,1633904774,2021-10-10 17:26:14,belleza-y-cuidado,satisfaccion,135,2021-10-10 17:26:14
Sofia Medina,sofia.medina71,"desde bebé lo he usado y me sienta genial, tengo el pelo hasta después de las rodillas, esta largo, sano, fuerte abundante y brillante, depende de cada tipo de cabello sus resultados",1,0,1745119363,2025-04-19 22:22:43,belleza-y-cuidado,satisfaccion,182,2025-04-19 22:22:43
Mamá Fuxioner,mamafuxionerperu,"esq la mascarilla no se usa a diario, el tratamiento es 1 vez x semana, lonq es diario es el shampoo y acondicionador",5,0,1732965012,2024-11-30 06:10:12,belleza-y-cuidado,testimonio,117,2024-11-30 06:10:12
