user,user_id,text,like,reply_count,timestamp,fecha_legible,tipo_de_item,emocion,comment_length,time,word_count,bert_sentiment
Navarrete 🦇,zoeee_77777,la vrdd no yo tenía el pelo en pelo en pausa y empecé a usar mascarillas para pelo 1.de garnier fructis 😍 2.nutribela😍 3.pantene 😍,443,5,1728426278,2024-10-08 17:24:38,belleza-y-cuidado,testimonio,130,2024-10-08 17:24:38,25,positive
LaCherryBoop,cherryboopxxx,"Mí hermano es químico farmacéutico y dice que recomienda estos productos porque son más naturales que otras mascarillas, así también una mascarilla de Pantene que amo usar. 🤔",910,8,1716524639,2024-05-23 23:23:59,belleza-y-cuidado,testimonio,174,2024-05-23 23:23:59,28,neutral
Ori✨,orianaa_rosaless,"úsenlo, yo tenía el cabello horrible y no saben el cambio que me dio cuando lo empecé a usar, es mágico.",3827,32,1633898429,2021-10-10 15:40:29,belleza-y-cuidado,satisfaccion,104,2021-10-10 15:40:29,21,negative
K'rol Rojas,karolrojas018,"mi cabello cambio por completo desde que la empecé a usar😏 está súper largo,súper suave y mejor que nunca 🤷creo que no a todas les funciona",1587,41,1633893792,2021-10-10 14:23:12,belleza-y-cuidado,satisfaccion,139,2021-10-10 14:23:12,26,neutral
Fer💗,fer622301,si es mala? es que la acabo de comprar la rosa 😭😭😭,11,7,1737934854,2025-01-26 18:40:54,belleza-y-cuidado,consulta,50,2025-01-26 18:40:54,12,neutral
Andre Carolina♍️✨,andrecarolina27,"yo amaba nutribela y Pantene los dejé de usar y el cabello se puso horrible, chiroso, seco, no ni pa que eso d q es un maquillaje es verdad",475,6,1633956934,2021-10-11 07:55:34,belleza-y-cuidado,decepcion,139,2021-10-11 07:55:34,29,negative
Viviana Benavidez,vivikoi1505,"Lo uso hace mas de un año y no me pasa lo q dices, al contrario, se pone mas manejable.",950,9,1633897088,2021-10-10 15:18:08,belleza-y-cuidado,testimonio,87,2021-10-10 15:18:08,20,neutral
Manchaslovers,manchaslovers,"Leyendo los comentarios a la gran mayoría le ha ido bien, y ella se pone brava por eso jajaja 😂😂",725,18,1633957506,2021-10-11 08:05:06,belleza-y-cuidado,testimonio,96,2021-10-11 08:05:06,20,neutral
Peque🐥,emmayvane,"yo me decolore el cabello, nada me funcionaba parecía chicle, hasta que use nutribela y le dió un giro completo, se fortaleció lo recomiendo",473,22,1633901758,2021-10-10 16:35:58,belleza-y-cuidado,testimonio,140,2021-10-10 16:35:58,24,neutral
𝑪𝒂𝒓𝒐𝒍𝒊𝒏𝒂♡,caroliina110,"Si tuviste mala experiencia con el producto no quiere decir que a las demás no les funcione, en mi caso tengo el cabello super largo y brillante",890,33,1633898166,2021-10-10 15:36:06,belleza-y-cuidado,satisfaccion,144,2021-10-10 15:36:06,27,neutral
sams,saman.kv,"Yo la vrdd si lo recomiendo Además cada pelo es diferente ami me deja el pelo manejable,Brillo si etc",175,3,1720313288,2024-07-06 19:48:08,belleza-y-cuidado,testimonio,101,2024-07-06 19:48:08,19,neutral
Brianna shop,briannashop1,eso es mentira yo por las decoloraciones tenía el cabello horrible y muy reseco empecé a usarlos y es fantástico recupero vida y ahora está suave y hermoso,18,1,1737937225,2025-01-26 19:20:25,belleza-y-cuidado,decepcion,155,2025-01-26 19:20:25,28,negative
luisa,luisam1515,"a mi me sirvió mucho, y cuando lo dejé de usar se me puso feo",99,3,1641367799,2022-01-05 02:29:59,belleza-y-cuidado,testimonio,61,2022-01-05 02:29:59,15,neutral
Sofia Medina,sofia.medina71,"chicas la cantidad de ingredientes es dependiendo de tu pelo, y tienes q probar para saber q necesita tu pelo, hay cabello que le sienta bien las siliconas y a otros no y ya, depende +",4,1,1745119387,2025-04-19 22:23:07,belleza-y-cuidado,testimonio,184,2025-04-19 22:23:07,36,neutral
