comment,comment_length,word_count,bert_sentiment
le gana sauvage dior ufff perfumaso.,37,6,neutral
Si lo dice Flavia laos prefiero usar Yanbal 😅😅😅,47,9,neutral
"Me dejan el precio? No me dejen su Wsp que no pienso escribirles, solo díganme el precio por favor",99,19,neutral
Cuál es su precio?,18,4,neutral
"El olor no perdura, pero si huele muy rico, muy top en cuando a olor 🫦, pero no dura!!! Parece más un toilette por la duración",126,26,neutral
Es buenooo y baratasoo 38€ nada más,35,7,neutral
"yo lo tengo pero no pasa na, hay mejores",40,9,neutral
400 so quien dice Yooo ❓,24,6,neutral
Esos perfumes pegan más que diealis super recomendados,54,8,neutral
yo soy fiel a mi Axe de chocolate 😌😌😌,37,9,positive
Para mujer no hay?,18,4,neutral
Perfume,7,1,neutral
gente sean sincero le gana al one millon?🤔🤔,43,8,neutral
Dónde lo comñro,15,3,neutral
Es unisex?,10,2,neutral
Costo de este perfume?,22,4,neutral
MUY DULCE ES...HUELE A PASTELERIA NO PASA NADA,46,8,neutral
Mejor es el qawa,16,4,neutral
Disculpa cual perfume arabe es la version mas parecido a Le Male Elixir de JPG,78,15,neutral
Precio del producto,19,3,neutral
precio,6,1,neutral
quiero comprarlo...dime como lo compro,38,5,neutral
Precio de los decan por favor,29,6,neutral
Alguno de 50 soles?,19,4,neutral
Cuál es mejor ese o el qhawa?,29,7,neutral
Donde lo consigo en Chimbote?,29,5,neutral
ya pero tienes original?,24,4,neutral
pero el original no los bambas que venden como origen x todas las redes,71,14,neutral
cómo lo adquiero,16,3,neutral
Donde lo compro,15,3,neutral
precio?,7,1,neutral
No es para el verano,20,5,neutral
lo quiero costó?,16,3,neutral
cuanto cuesta,13,2,neutral
precio por favor,16,3,neutral
yo veía el gran chef por ella era súper bonita ella es mi crash,63,14,neutral
Perfume,7,1,neutral
Cuál es el precio,17,4,neutral
yo quiero,9,2,neutral
y precio tiene?,15,3,neutral
Precio,6,1,neutral
cuanto esta,11,2,neutral
Como lo consigo,15,3,neutral
información,11,1,neutral
dónde consigo perfume árabe,27,4,neutral
Lo quiero,9,2,neutral
dónde lo consigo,16,3,neutral
precio xfabor,13,2,neutral
Info,4,1,neutral
perfume,7,1,neutral
Precio,6,1,neutral
Envíos?,7,1,neutral
"Flavia Laos ya no tiene buenos gustos así que no hagan caso cuando dice que el perfume es bueno, compren lebel para eso mejor jajaja",132,25,neutral
información!,12,1,neutral
perfume donde lo consigo,24,4,neutral
"pero si flavia dice que huele rico es pq huele a viejo verde con plata, te subira la edad",89,19,neutral
"El qahwa es un poco mejor, pero muy bueno ambos",47,10,neutral
"yo no voy a citas, lo tengo que comprar?",40,9,neutral
"la verdad sii, dura en la ropa hasta cuando ya lo lavaste",57,12,neutral
Perfume,7,1,neutral
precio,6,1,neutral
pero cuál es su costo,21,5,neutral
si saben que el olor depende del ph del cuerpo y no huele igual en todos no?,76,17,neutral
Por esos precios que los venden me compro un Givenchy o un Hugo boss,68,14,neutral
inf,3,1,neutral
buen marketing,14,2,neutral
Lo uso y eso riquísimo,22,5,neutral
jajjaaj marketing,17,2,neutral
mmm neh,7,2,neutral
perfume,7,1,neutral
precio,6,1,neutral
Y su precio 25 a 30 euros..!!,29,7,neutral
agradescan dalis,16,2,neutral
"ese perfume son para jóvenes fiesteros o para personas mayores a los 20, tiene un fondo alicorado",98,17,neutral
No me gusto la verdad 😩,23,6,negative
Quiero,6,1,neutral
ami no m gusta la vdd,21,6,neutral
colonia de dj mario 😮‍💨,23,5,neutral
o me sigue y te paso uno mejor ☺️,33,9,positive
perfume,7,1,neutral
precio?,7,1,neutral
nada como mi olor despues de un duchazo,39,8,neutral
q precio tiene,14,3,neutral
jajajajaa que buen marketing,28,4,neutral
información,11,1,neutral
Quiero quiero,13,2,neutral
de una quiero,13,3,neutral
UFFF Khamrah Qahwa,18,3,neutral
a mí no me gustó,16,5,neutral
precio??,8,1,neutral
Amber oud gold le gana lo digo por experiencia,46,9,neutral
tendrás perfumes de mujer?,26,4,neutral
Perfumes árabes ja bien de gris,31,6,neutral
perfumes,8,1,neutral
Precio,6,1,neutral
Precio?,7,1,neutral
precio,6,1,neutral
precio???,9,1,neutral
Precio,6,1,neutral
Precio,6,1,neutral
precio,6,1,neutral
precio,6,1,neutral
precio?,8,1,neutral
precio,6,1,neutral
precio,6,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
Perfume,7,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
Ya quemaron ese perfume,23,4,neutral
precio para mi hijo quiero 🥺,28,6,neutral
precio,6,1,neutral
Precio?,7,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
Yo les digo cómprenlo pero tengan cuidado con el calor porque es un perfume muy meloso,86,16,neutral
Del qawa a este?,17,4,neutral
Le gana al Inebriante?,22,4,neutral
perfume,7,1,neutral
precio,6,1,neutral
Soy Proovedor de arg,20,4,neutral
precio información,18,2,neutral
Soy yo o es el perfume que usa Fede y el video está en el canal de Carlitos 24 horas en el cuarto de Fede en la parte de el clóset,130,31,neutral
precio,6,1,neutral
Mano lo compré y mis amigos decían que olía a madera me subieron que salí de leñadores 👀,88,18,neutral
info,4,1,neutral
perfume,7,1,neutral
precio,6,1,neutral
Perfume,7,1,neutral
precio en decants,17,3,neutral
Perfume,7,1,neutral
precio,6,1,neutral
información,11,1,neutral
tienen tienda física,20,3,neutral
La de cars es la voz,20,6,neutral
precio del perfume?,19,3,neutral
info,4,1,neutral
quiero precio y dónde lo compró,31,6,neutral
precio,6,1,neutral
perfume,7,1,neutral
Precio?,7,1,neutral
Horrible es muy fuerte el aroma,31,6,negative
Todo el mundo tiene ese perfume,31,6,neutral
precio manooo,13,2,neutral
perfume,7,1,neutral
22 dólares 💵,12,3,neutral
Perfume,7,1,neutral
Precio,6,1,neutral
perfume,7,1,neutral
Qué precio??,13,2,neutral
Precio.,7,1,neutral
Precio,6,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
Precio,6,1,neutral
el mejor perfume es mi sudor de tres días 😎🌹,44,10,positive
PERO ES EL QAHWA? O EL UNISEX?,30,7,neutral
Perfume,7,1,neutral
precio y donde,14,3,neutral
precio,6,1,neutral
precio?,7,1,neutral
precio?,7,1,neutral
22 $ en Walmart,15,4,neutral
Flavia es como ver a Susy Díaz de joven 😅,41,10,neutral
precio,6,1,neutral
perfume,7,1,neutral
cuanto de dicant,16,3,neutral
perfume,7,1,neutral
precio del decant de kharmarh?,30,5,neutral
sapolio,7,1,neutral
Sauvage de Dior una joya,24,5,neutral
precio,6,1,neutral
Precio,6,1,neutral
Amigo precio,12,2,neutral
Perfume,7,1,neutral
y es muy muy barato 🤔🤔 creo que la voy a probar 😁,49,13,neutral
perfume,7,1,neutral
con los gustos de la flaca... pues hay k buscar algo mejor jajaja,66,13,neutral
Informes?,9,1,neutral
perfume,7,1,neutral
perfumr costo,13,2,neutral
Nada supera al Varón Dandy.... 😳,32,6,neutral
perfume,7,1,neutral
precio,6,1,neutral
para laikas,11,2,neutral
Cuanto esta y donde lo compro,29,6,neutral
perfume,7,1,neutral
precio,6,1,neutral
perfume,7,1,neutral
buenas quiero información,25,3,neutral
perfume,7,1,neutral
Perfume,7,1,neutral
Donde venden,12,2,neutral
perfume,7,1,neutral
perfume,7,1,neutral
Perfume,7,1,neutral
perfume,7,1,neutral
precio,6,1,neutral
info,4,1,neutral
perfume,7,1,neutral
perfumeeeeeeee,14,1,neutral
perfume,7,1,neutral
Precio?,7,1,neutral
holas costo porfabor información,32,4,neutral
son los árabes que venden en Tacna?,35,7,neutral
perfume ubicación,17,2,neutral
precio,6,1,neutral
Demasiado dulce,15,2,neutral
perfume,7,1,neutral
perfume,7,1,neutral
Perfume,7,1,neutral
precio,6,1,neutral
pocos saben del amberaut 😌,26,5,positive
Asi a la firme pasense jabon bolivar nomas,42,8,neutral
perfume,7,1,neutral
flavia buscando googleando el nombre del perfume para saber si cuesta 10000 euros 😂😂😂😂,86,14,neutral
precio?,7,1,neutral
Antes lo vendían a 220 soles ahora veo q está por los suelos ese perfume,72,15,neutral
perfume,7,1,neutral
precio?,7,1,neutral
Precio,6,1,neutral
xd,2,1,neutral
Perfume,7,1,neutral
precio,6,1,neutral
es agradable....pero no es tan admirable,40,6,neutral
Perfume,7,1,neutral
perfume,7,1,neutral
Perfume 🔥🔥,10,2,positive
Perfume,7,1,neutral
Perfume,7,1,neutral
no pasa nada...nada como el Axe chocolate...,46,7,neutral
información,11,1,neutral
P,1,1,neutral
perfume,7,1,neutral
Perfume,7,1,neutral
ese perfume pega xD,19,4,neutral
perfume,7,1,neutral
Ami me costó 600🥺,17,4,neutral
aun uso humilde,38,3,neutral
Perfume,7,1,neutral
precio,6,1,neutral
Perfume,7,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
información,11,1,neutral
cuanto esta,11,2,neutral
no huele tan rico,17,4,neutral
perfume precio,14,2,neutral
perfume,7,1,neutral
Quien es esa lola?,18,4,neutral
precio,6,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
"no pasa nada, más rico es el dendur, de lejos",45,10,neutral
catálogo,8,1,neutral
perfume,7,1,neutral
precio,6,1,neutral
perfume,7,1,neutral
Perfume,7,1,neutral
Precio,6,1,neutral
precio?,7,1,neutral
perfume,7,1,neutral
Precio del perfume,18,3,neutral
Perfume,7,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
precio,6,1,neutral
precio,6,1,neutral
perfume,7,1,neutral
Perfume,7,1,neutral
precio,6,1,neutral
Precio,6,1,neutral
precio del perfume,18,3,neutral
que le hicieron a la carita a Flavia?,37,8,neutral
peru donde lo consigo y precio,30,6,neutral
Perfume,7,1,neutral
precio,6,1,neutral
esa es la falsa tiene la etiqueta rectangular en la base,56,11,neutral
:'v quien esa tia?,18,4,neutral
ubicación xfa,13,2,neutral
Info,4,1,neutral
P,1,1,neutral
Dónde queda la tienda?,22,4,neutral
peefumes,8,1,neutral
Perfume,7,1,neutral
necesito..,10,1,neutral
Perfume,7,1,neutral
Perfume,7,1,neutral
Precio,6,1,neutral
Precio,6,1,neutral
precio,6,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
Perfume,7,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
Perfume,7,1,neutral
A las 4 horas se disipa sin mencionar que es la copia árabe de Angel’s Share de KILIAN pero está 5 veces más al precio llegando casi a los 300 euros.,149,31,neutral
Perfume,7,1,neutral
peru,4,1,neutral
precio,6,1,neutral
Precio,6,1,neutral
jaja,4,1,neutral
Precio,6,1,neutral
"no lo compren si no lo han calado antes, esa madre no se compra a ciegas, no es un holor para todos",100,22,neutral
perfume,7,1,neutral
perfume,7,1,neutral
q precio tiene,14,3,neutral
Y lo peor es que es un perfume barato.,38,9,neutral
que dirán de oi yambal de farmacia,34,7,neutral
perfume,7,1,neutral
precio,6,1,neutral
precio,6,1,neutral
Precio,6,1,neutral
información,11,1,neutral
cual es su precio?,19,4,neutral
hacen delivery a domicilio?,27,4,neutral
lo quiero donde lo compro,25,5,neutral
buenazo,7,1,neutral
precio,6,1,neutral
Precio,6,1,neutral
precio,6,1,neutral
Ese perfume árabe también para mujer,36,6,neutral
precio,6,1,neutral
Perfume,7,1,neutral
Precio por favor.,17,3,neutral
Jajaja yo lo uso y lo llamo el whiskey!! 🥃,42,10,positive
Precio,6,1,neutral
20€,3,1,neutral
Perfume,7,1,neutral
perfume,7,1,neutral
Pedidos donde,13,2,neutral
Precio dime por favor,21,4,neutral
Yo lo tengo 😍,13,4,positive
Perfume,7,1,neutral
Jajajaja vuele a glade manzana canela 😂😂😂 literal,49,8,neutral
Es verdad que es muy dulce confirmen,36,7,neutral
precio,6,1,neutral
Sirve para el verano o invierno?,32,6,neutral
Perfume,7,1,neutral
Precio,6,1,neutral
perfume,7,1,neutral
precioso urgente pa tu angelito favorito,40,6,neutral
el qahws es distinto?,21,4,neutral
perfume! valor,14,2,neutral
con cuanto de alcohol viene,27,5,neutral
precio,6,1,neutral
ahora dialis tiene que hacer lo de lo veo y lo quiero xD jajaja sus abogados jaja,81,17,neutral
Precio,6,1,neutral
Precio previo,13,2,neutral
Jamás usar en lugares cerrados y con calor 🥵..,46,9,neutral
precio bro?,11,2,neutral
Precio,6,1,neutral
Perfume,7,1,neutral
Decants de Toy Boy Moschino?,28,5,neutral
preccio,7,1,neutral
Por que alguien compraria un perfume quemadisimo que ya lo tiene todo el mundo? sean un poco mas originales gente,113,20,neutral
Perfume,7,1,neutral
"ese es original? hasta donde tengo entendido el sticker de abajo es circular, la botella es de un transparente completo ese es algo amarillento",143,24,neutral
precio por favor,16,3,neutral
perfume,7,1,neutral
info 🥺,6,2,neutral
perfume,7,1,neutral
Ayudé a perfeccionar.,21,3,neutral
Ayudé a perfeccionar💯.,22,3,neutral
Perfume,7,1,neutral
Por favor donde compro,22,4,neutral
hola..precio del dican??,24,3,neutral
hasta llego,11,2,neutral
Una chulada 🙈🫦,14,3,neutral
quiero,6,1,neutral
precio,6,1,neutral
Precio por favor,16,3,neutral
perfumes,8,1,neutral
perfume. información,20,2,neutral
precio,6,1,neutral
info,4,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
"solo que el que ella agarra es el Qahwa que es mas Varonil,el otro huele dmc a Hembra",86,18,neutral
perfume,7,1,neutral
info hace envío provincia,25,4,neutral
precio,6,1,neutral
Precio,6,1,neutral
precio?,8,1,neutral
precio,6,1,neutral
costo?,6,1,neutral
perfume,7,1,neutral
precio??,8,1,neutral
perfume,7,1,neutral
Perfume,7,1,neutral
son originales?,15,2,neutral
khamrah karaz es concepto o real?,33,6,neutral
Perfume,7,1,neutral
Alguien sabe cuánto vale?,26,4,neutral
precio,6,1,neutral
Y que me dices del qahwa?,25,6,neutral
El que no conoce a Tom Ford Ombre Leather a cualquier baratija le reza.,71,14,neutral
perfume,7,1,neutral
perfume,7,1,neutral
perfume,7,1,neutral
barara es deli deli,19,4,neutral
Confirmo gente ese perfume pega bien. 😌,39,7,positive
Precio,6,1,neutral
Precio del perfume entero?,26,4,neutral
perfume...,10,1,neutral
precio,6,1,neutral
perfume,7,1,neutral
😎,1,1,positive
😏,1,1,neutral
Martinez💕,19,1,positive
Sotelo la boca 😣,24,4,negative
Velastegui🦦 Yuquilema,73,2,neutral
🌻🌈,9,1,positive
😁,1,1,positive
🥰,1,1,positive
😭😭😭,3,1,negative
😂,1,1,neutral
✌✌✌,3,1,positive
😁,1,1,positive
🥺,1,1,neutral
😆,1,1,positive
😂😂😂,3,1,neutral
👑👑👑,3,1,neutral
😳😳😳,3,1,neutral
💯,1,1,neutral
😈,1,1,neutral
💞,1,1,positive
😁😁😁,3,1,positive
😥😥😥,3,1,negative
😁,1,1,positive
👍,1,1,positive
😁,1,1,positive
🥰,1,1,positive
😳,1,1,neutral
❤️,2,1,positive
😁,1,1,positive
😢,1,1,negative
🥰,1,1,positive
🥰🥰🥰,3,1,positive
😂,1,1,neutral
😂😂😂,3,1,neutral
🥰,1,1,positive
🥰🥰🥰,3,1,positive
😂,1,1,neutral
😁,1,1,positive
🤔,1,1,neutral
😢,1,1,negative
😉,1,1,positive
😭,1,1,neutral
Laos Urbina tiene que cobrar por la publicidad,54,8,neutral
👌,1,1,positive
😅😅😅,3,1,positive
😢😢😢,3,1,negative
😁,1,1,positive
😁,1,1,positive
🙏🙏🙏,3,1,positive
😁,1,1,positive
😁,1,1,positive
🥰🥰🥰,3,1,positive
́α ίςαɓεʆ 🧚🏼‍♀️ 🥰,23,4,positive
😁,1,1,positive
😁,1,1,positive
😂,1,1,neutral
❤️,2,1,positive
😳,1,1,neutral
😁,1,1,positive
😂,1,1,neutral
